date,item,category,region,sales,quantity,price_per_unit
2024-04-07,Product_A,Electronics,North,149.09,4,31.35
2024-04-08,Product_A,Electronics,North,146.77,10,23.76
2024-04-09,Product_A,Electronics,North,144.6,7,24.46
2024-04-10,Product_A,Electronics,North,133.02,7,35.66
2024-04-11,Product_A,Electronics,North,143.18,8,90.71
2024-04-12,Product_A,Electronics,North,144.18,10,57.21
2024-04-13,Product_A,Electronics,North,139.79,5,98.41
2024-04-14,Product_A,Electronics,North,146.4,10,45.81
2024-04-15,Product_A,Electronics,North,152.25,3,87.9
2024-04-16,Product_A,Electronics,North,167.26,3,33.21
2024-04-17,Product_A,Electronics,North,150.33,8,70.18
2024-04-18,Product_A,Electronics,North,151.34,3,60.11
2024-04-19,Product_A,Electronics,North,148.19,4,35.2
2024-04-20,Product_A,Electronics,North,129.92,3,26.83
2024-04-21,Product_A,Electronics,North,149.0,6,48.29
2024-04-22,Product_A,Electronics,North,150.02,4,31.82
2024-04-23,Product_A,Electronics,North,174.21,11,64.96
2024-04-24,Product_A,Electronics,North,147.8,6,62.31
2024-04-25,Product_A,Electronics,North,152.87,9,53.3
2024-04-26,Product_A,Electronics,North,149.65,4,14.66
2024-04-27,Product_A,Electronics,North,138.44,5,22.1
2024-04-28,Product_A,Electronics,North,161.67,12,99.1
2024-04-29,Product_A,Electronics,North,157.88,6,82.89
2024-04-30,Product_A,Electronics,North,158.39,7,71.34
2024-05-01,Product_A,Electronics,North,141.49,3,63.61
2024-05-02,Product_A,Electronics,North,164.72,5,47.07
2024-05-03,Product_A,Electronics,North,136.77,5,93.66
2024-05-04,Product_A,Electronics,North,156.75,3,96.85
2024-05-05,Product_A,Electronics,North,172.87,11,75.78
2024-05-06,Product_A,Electronics,North,141.14,2,26.31
2024-05-07,Product_A,Electronics,North,145.46,11,76.7
2024-05-08,Product_A,Electronics,North,152.19,4,85.76
2024-05-09,Product_A,Electronics,North,146.23,9,81.57
2024-05-10,Product_A,Electronics,North,135.82,7,24.73
2024-05-11,Product_A,Electronics,North,152.07,9,83.31
2024-05-12,Product_A,Electronics,North,140.82,3,57.08
2024-05-13,Product_A,Electronics,North,156.23,6,88.95
2024-05-14,Product_A,Electronics,North,142.34,5,83.49
2024-05-15,Product_A,Electronics,North,167.08,6,43.92
2024-05-16,Product_A,Electronics,North,143.78,5,37.12
2024-05-17,Product_A,Electronics,North,148.43,3,55.24
2024-05-18,Product_A,Electronics,North,159.81,8,90.96
2024-05-19,Product_A,Electronics,North,139.39,5,58.92
2024-05-20,Product_A,Electronics,North,153.99,3,66.18
2024-05-21,Product_A,Electronics,North,164.8,11,94.58
2024-05-22,Product_A,Electronics,North,135.67,3,40.14
2024-05-23,Product_A,Electronics,North,153.6,9,81.46
2024-05-24,Product_A,Electronics,North,154.36,4,58.01
2024-05-25,Product_A,Electronics,North,159.58,3,80.97
2024-05-26,Product_A,Electronics,North,139.39,8,38.05
2024-05-27,Product_A,Electronics,North,138.54,6,76.96
2024-05-28,Product_A,Electronics,North,156.96,13,61.29
2024-05-29,Product_A,Electronics,North,154.7,3,88.91
2024-05-30,Product_A,Electronics,North,154.22,6,83.91
2024-05-31,Product_A,Electronics,North,155.16,10,86.18
2024-06-01,Product_A,Electronics,North,144.87,9,45.76
2024-06-02,Product_A,Electronics,North,153.97,3,23.49
2024-06-03,Product_A,Electronics,North,154.55,8,75.0
2024-06-04,Product_A,Electronics,North,144.44,3,67.7
2024-06-05,Product_A,Electronics,North,170.21,4,58.85
2024-06-06,Product_A,Electronics,North,156.25,7,41.11
2024-06-07,Product_A,Electronics,North,139.56,8,91.76
2024-06-08,Product_A,Electronics,North,158.0,4,46.08
2024-06-09,Product_A,Electronics,North,141.64,4,95.26
2024-06-10,Product_A,Electronics,North,159.21,9,62.76
2024-06-11,Product_A,Electronics,North,162.88,5,65.03
2024-06-12,Product_A,Electronics,North,143.04,13,88.49
2024-06-13,Product_A,Electronics,North,160.83,3,60.86
2024-06-14,Product_A,Electronics,North,155.27,4,93.02
2024-06-15,Product_A,Electronics,North,159.3,4,23.73
2024-06-16,Product_A,Electronics,North,169.99,5,64.6
2024-06-17,Product_A,Electronics,North,148.51,5,76.28
2024-06-18,Product_A,Electronics,North,143.37,3,93.3
2024-06-19,Product_A,Electronics,North,141.95,5,20.19
2024-06-20,Product_A,Electronics,North,142.62,2,85.5
2024-06-21,Product_A,Electronics,North,149.95,10,92.88
2024-06-22,Product_A,Electronics,North,154.06,3,56.7
2024-06-23,Product_A,Electronics,North,153.35,4,45.91
2024-06-24,Product_A,Electronics,North,158.79,13,40.17
2024-06-25,Product_A,Electronics,North,150.58,3,10.42
2024-06-26,Product_A,Electronics,North,164.92,7,45.84
2024-06-27,Product_A,Electronics,North,147.67,4,92.79
2024-06-28,Product_A,Electronics,North,177.45,7,41.23
2024-06-29,Product_A,Electronics,North,156.43,3,50.7
2024-06-30,Product_A,Electronics,North,141.53,7,50.72
2024-07-01,Product_A,Electronics,North,139.33,8,25.87
2024-07-02,Product_A,Electronics,North,154.79,5,47.7
2024-07-03,Product_A,Electronics,North,147.66,3,42.62
2024-07-04,Product_A,Electronics,North,156.96,4,66.9
2024-07-05,Product_A,Electronics,North,154.49,14,69.72
2024-07-06,Product_A,Electronics,North,148.96,8,96.5
2024-07-07,Product_A,Electronics,North,141.15,8,47.32
2024-07-08,Product_A,Electronics,North,134.4,10,99.72
2024-07-09,Product_A,Electronics,North,145.01,4,63.58
2024-07-10,Product_A,Electronics,North,157.98,12,77.5
2024-07-11,Product_A,Electronics,North,151.49,8,90.82
2024-07-12,Product_A,Electronics,North,136.82,7,27.16
2024-07-13,Product_A,Electronics,North,150.95,13,52.49
2024-07-14,Product_A,Electronics,North,153.01,4,15.91
2024-07-15,Product_A,Electronics,North,140.25,3,50.8
2024-07-16,Product_A,Electronics,North,150.57,4,49.67
2024-07-17,Product_A,Electronics,North,149.56,5,60.37
2024-07-18,Product_A,Electronics,North,137.49,8,26.37
2024-07-19,Product_A,Electronics,North,152.44,3,95.15
2024-07-20,Product_A,Electronics,North,154.41,6,34.37
2024-07-21,Product_A,Electronics,North,159.58,4,46.79
2024-07-22,Product_A,Electronics,North,159.24,14,24.05
2024-07-23,Product_A,Electronics,North,134.88,3,69.3
2024-07-24,Product_A,Electronics,North,139.23,12,29.98
2024-07-25,Product_A,Electronics,North,153.72,7,70.47
2024-07-26,Product_A,Electronics,North,153.66,14,19.37
2024-07-27,Product_A,Electronics,North,153.64,3,26.07
2024-07-28,Product_A,Electronics,North,186.98,5,31.44
2024-07-29,Product_A,Electronics,North,154.13,11,31.89
2024-07-30,Product_A,Electronics,North,159.74,4,87.01
2024-07-31,Product_A,Electronics,North,157.9,3,45.75
2024-08-01,Product_A,Electronics,North,154.85,4,28.45
2024-08-02,Product_A,Electronics,North,145.16,6,90.67
2024-08-03,Product_A,Electronics,North,155.88,14,17.7
2024-08-04,Product_A,Electronics,North,140.55,7,12.39
2024-08-05,Product_A,Electronics,North,145.89,8,62.47
2024-08-06,Product_A,Electronics,North,143.4,5,90.34
2024-08-07,Product_A,Electronics,North,149.06,3,40.76
2024-08-08,Product_A,Electronics,North,171.39,8,44.17
2024-08-09,Product_A,Electronics,North,129.57,3,34.13
2024-08-10,Product_A,Electronics,North,155.11,4,46.85
2024-08-11,Product_A,Electronics,North,132.13,4,49.25
2024-08-12,Product_A,Electronics,North,143.55,6,95.36
2024-08-13,Product_A,Electronics,North,159.17,3,22.61
2024-08-14,Product_A,Electronics,North,148.95,3,53.87
2024-08-15,Product_A,Electronics,North,137.55,3,81.99
2024-08-16,Product_A,Electronics,North,141.2,5,12.02
2024-08-17,Product_A,Electronics,North,155.18,7,58.75
2024-08-18,Product_A,Electronics,North,141.12,3,33.21
2024-08-19,Product_A,Electronics,North,150.63,9,85.14
2024-08-20,Product_A,Electronics,North,148.96,3,57.31
2024-08-21,Product_A,Electronics,North,142.04,8,34.51
2024-08-22,Product_A,Electronics,North,170.05,15,92.29
2024-08-23,Product_A,Electronics,North,155.01,10,61.89
2024-08-24,Product_A,Electronics,North,128.48,6,59.88
2024-08-25,Product_A,Electronics,North,150.67,4,84.68
2024-08-26,Product_A,Electronics,North,142.26,7,10.99
2024-08-27,Product_A,Electronics,North,157.48,10,91.0
2024-08-28,Product_A,Electronics,North,141.11,3,63.77
2024-08-29,Product_A,Electronics,North,147.98,4,69.85
2024-08-30,Product_A,Electronics,North,154.26,9,92.3
2024-08-31,Product_A,Electronics,North,157.97,5,44.48
2024-09-01,Product_A,Electronics,North,137.41,4,14.23
2024-09-02,Product_A,Electronics,North,146.18,8,76.42
2024-09-03,Product_A,Electronics,North,144.89,10,64.28
2024-09-04,Product_A,Electronics,North,143.22,7,45.04
2024-09-05,Product_A,Electronics,North,167.53,7,42.01
2024-09-06,Product_A,Electronics,North,154.06,3,36.74
2024-09-07,Product_A,Electronics,North,137.53,4,52.84
2024-09-08,Product_A,Electronics,North,159.46,4,94.31
2024-09-09,Product_A,Electronics,North,171.65,4,29.34
2024-09-10,Product_A,Electronics,North,160.9,14,33.6
2024-09-11,Product_A,Electronics,North,135.54,4,14.63
2024-09-12,Product_A,Electronics,North,146.05,4,63.72
2024-09-13,Product_A,Electronics,North,163.73,7,79.38
2024-09-14,Product_A,Electronics,North,144.16,10,16.76
2024-09-15,Product_A,Electronics,North,155.85,3,54.59
2024-09-16,Product_A,Electronics,North,159.35,4,49.13
2024-09-17,Product_A,Electronics,North,142.52,7,83.72
2024-09-18,Product_A,Electronics,North,151.39,3,72.52
2024-09-19,Product_A,Electronics,North,119.78,5,63.12
2024-09-20,Product_A,Electronics,North,142.15,5,18.24
2024-09-21,Product_A,Electronics,North,150.08,3,22.31
2024-09-22,Product_A,Electronics,North,140.35,2,50.14
2024-09-23,Product_A,Electronics,North,169.38,9,58.77
2024-09-24,Product_A,Electronics,North,138.98,3,75.9
2024-09-25,Product_A,Electronics,North,149.12,3,69.29
2024-09-26,Product_A,Electronics,North,155.07,4,86.43
2024-09-27,Product_A,Electronics,North,168.43,8,54.05
2024-09-28,Product_A,Electronics,North,139.91,7,98.89
2024-09-29,Product_A,Electronics,North,166.16,3,13.55
2024-09-30,Product_A,Electronics,North,154.9,4,93.27
2024-10-01,Product_A,Electronics,North,145.25,8,61.12
2024-10-02,Product_A,Electronics,North,159.97,3,13.06
2024-10-03,Product_A,Electronics,North,157.62,4,36.76
2024-10-04,Product_A,Electronics,North,149.92,3,97.4
2024-10-05,Product_A,Electronics,North,156.92,3,52.68
2024-10-06,Product_A,Electronics,North,152.67,3,86.01
2024-10-07,Product_A,Electronics,North,157.96,6,84.6
2024-10-08,Product_A,Electronics,North,163.76,14,63.66
2024-10-09,Product_A,Electronics,North,173.32,9,20.85
2024-10-10,Product_A,Electronics,North,145.41,11,72.67
2024-10-11,Product_A,Electronics,North,179.45,7,75.23
2024-10-12,Product_A,Electronics,North,138.94,11,38.38
2024-10-13,Product_A,Electronics,North,157.28,4,81.17
2024-10-14,Product_A,Electronics,North,165.03,7,66.33
2024-10-15,Product_A,Electronics,North,162.31,3,65.43
2024-10-16,Product_A,Electronics,North,153.64,7,12.2
2024-10-17,Product_A,Electronics,North,158.15,3,11.91
2024-10-18,Product_A,Electronics,North,155.67,3,57.6
2024-10-19,Product_A,Electronics,North,155.09,3,81.89
2024-10-20,Product_A,Electronics,North,169.86,3,41.56
2024-10-21,Product_A,Electronics,North,165.32,4,46.17
2024-10-22,Product_A,Electronics,North,155.22,5,66.48
2024-10-23,Product_A,Electronics,North,171.54,3,98.57
2024-10-24,Product_A,Electronics,North,166.02,4,47.6
2024-10-25,Product_A,Electronics,North,171.49,6,76.38
2024-10-26,Product_A,Electronics,North,170.07,8,19.94
2024-10-27,Product_A,Electronics,North,155.91,6,35.85
2024-10-28,Product_A,Electronics,North,159.02,7,31.02
2024-10-29,Product_A,Electronics,North,172.53,14,11.61
2024-10-30,Product_A,Electronics,North,171.6,3,48.5
2024-10-31,Product_A,Electronics,North,165.73,6,71.17
2024-11-01,Product_A,Electronics,North,167.56,8,95.5
2024-11-02,Product_A,Electronics,North,179.62,4,18.05
2024-11-03,Product_A,Electronics,North,161.38,6,89.12
2024-11-04,Product_A,Electronics,North,173.23,3,52.07
2024-11-05,Product_A,Electronics,North,166.21,4,25.03
2024-11-06,Product_A,Electronics,North,166.52,3,30.85
2024-11-07,Product_A,Electronics,North,180.17,3,68.47
2024-11-08,Product_A,Electronics,North,177.91,5,56.14
2024-11-09,Product_A,Electronics,North,178.28,9,25.89
2024-11-10,Product_A,Electronics,North,183.69,9,26.78
2024-11-11,Product_A,Electronics,North,171.35,4,41.51
2024-11-12,Product_A,Electronics,North,178.46,14,97.22
2024-11-13,Product_A,Electronics,North,169.04,3,93.5
2024-11-14,Product_A,Electronics,North,175.89,3,25.65
2024-11-15,Product_A,Electronics,North,171.86,6,78.24
2024-11-16,Product_A,Electronics,North,174.65,4,23.85
2024-11-17,Product_A,Electronics,North,180.16,4,30.2
2024-11-18,Product_A,Electronics,North,166.55,8,58.33
2024-11-19,Product_A,Electronics,North,196.18,5,62.21
2024-11-20,Product_A,Electronics,North,165.73,12,88.97
2024-11-21,Product_A,Electronics,North,164.19,7,21.66
2024-11-22,Product_A,Electronics,North,188.46,4,96.01
2024-11-23,Product_A,Electronics,North,185.34,4,82.86
2024-11-24,Product_A,Electronics,North,184.21,5,59.58
2024-11-25,Product_A,Electronics,North,184.8,13,46.76
2024-11-26,Product_A,Electronics,North,178.95,7,33.38
2024-11-27,Product_A,Electronics,North,170.66,4,54.63
2024-11-28,Product_A,Electronics,North,180.96,13,29.82
2024-11-29,Product_A,Electronics,North,173.99,4,16.85
2024-11-30,Product_A,Electronics,North,191.08,4,54.56
2024-12-01,Product_A,Electronics,North,180.43,6,63.32
2024-12-02,Product_A,Electronics,North,174.23,4,41.3
2024-12-03,Product_A,Electronics,North,179.84,4,60.92
2024-12-04,Product_A,Electronics,North,187.77,9,89.08
2024-12-05,Product_A,Electronics,North,178.58,4,69.26
2024-12-06,Product_A,Electronics,North,176.58,4,88.06
2024-12-07,Product_A,Electronics,North,187.83,4,85.33
2024-12-08,Product_A,Electronics,North,188.44,4,71.21
2024-12-09,Product_A,Electronics,North,181.51,5,77.74
2024-12-10,Product_A,Electronics,North,182.46,11,89.28
2024-12-11,Product_A,Electronics,North,190.09,4,12.63
2024-12-12,Product_A,Electronics,North,173.89,4,21.6
2024-12-13,Product_A,Electronics,North,174.9,7,76.92
2024-12-14,Product_A,Electronics,North,182.39,11,83.62
2024-12-15,Product_A,Electronics,North,188.04,4,55.67
2024-12-16,Product_A,Electronics,North,193.89,18,35.83
2024-12-17,Product_A,Electronics,North,206.14,5,98.31
2024-12-18,Product_A,Electronics,North,200.58,5,33.38
2024-12-19,Product_A,Electronics,North,191.01,5,58.6
2024-12-20,Product_A,Electronics,North,193.03,4,19.63
2024-12-21,Product_A,Electronics,North,183.81,4,58.71
2024-12-22,Product_A,Electronics,North,194.26,4,40.77
2024-12-23,Product_A,Electronics,North,192.18,5,93.88
2024-12-24,Product_A,Electronics,North,198.91,14,94.35
2024-12-25,Product_A,Electronics,North,188.02,5,16.11
2024-12-26,Product_A,Electronics,North,202.1,9,73.74
2024-12-27,Product_A,Electronics,North,212.86,16,62.4
2024-12-28,Product_A,Electronics,North,197.06,8,65.88
2024-12-29,Product_A,Electronics,North,202.78,17,88.44
2024-12-30,Product_A,Electronics,North,206.28,4,97.2
2024-12-31,Product_A,Electronics,North,195.99,4,21.71
2024-01-01,Product_B,Clothing,South,165.66,3,86.63
2024-01-02,Product_B,Clothing,South,151.09,8,93.75
2024-01-03,Product_B,Clothing,South,147.94,10,83.57
2024-01-04,Product_B,Clothing,South,174.04,6,89.02
2024-01-05,Product_B,Clothing,South,142.48,3,82.53
2024-01-06,Product_B,Clothing,South,136.69,3,37.42
2024-01-07,Product_B,Clothing,South,164.8,12,46.27
2024-01-08,Product_B,Clothing,South,157.08,9,72.55
2024-01-09,Product_B,Clothing,South,153.57,6,97.8
2024-01-10,Product_B,Clothing,South,172.53,4,84.02
2024-01-11,Product_B,Clothing,South,169.54,11,87.58
2024-01-12,Product_B,Clothing,South,163.09,3,53.84
2024-01-13,Product_B,Clothing,South,157.53,4,78.83
2024-01-14,Product_B,Clothing,South,180.64,10,55.23
2024-01-15,Product_B,Clothing,South,179.98,6,23.17
2024-01-16,Product_B,Clothing,South,174.01,7,16.14
2024-01-17,Product_B,Clothing,South,194.96,17,22.16
2024-01-18,Product_B,Clothing,South,167.26,3,59.46
2024-01-19,Product_B,Clothing,South,164.13,3,48.92
2024-01-20,Product_B,Clothing,South,173.86,7,55.55
2024-01-21,Product_B,Clothing,South,181.68,6,19.51
2024-01-22,Product_B,Clothing,South,185.89,5,29.44
2024-01-23,Product_B,Clothing,South,182.32,5,68.52
2024-01-24,Product_B,Clothing,South,189.49,11,15.52
2024-01-25,Product_B,Clothing,South,174.64,4,51.38
2024-01-26,Product_B,Clothing,South,202.74,16,99.54
2024-01-27,Product_B,Clothing,South,188.58,15,72.55
2024-01-28,Product_B,Clothing,South,201.62,4,31.53
2024-01-29,Product_B,Clothing,South,194.88,12,20.92
2024-01-30,Product_B,Clothing,South,196.97,8,19.09
2024-01-31,Product_B,Clothing,South,199.0,5,15.61
2024-02-01,Product_B,Clothing,South,198.62,6,99.7
2024-02-02,Product_B,Clothing,South,201.37,4,65.37
2024-02-03,Product_B,Clothing,South,208.97,9,66.15
2024-02-04,Product_B,Clothing,South,198.32,6,48.35
2024-02-05,Product_B,Clothing,South,204.07,13,89.79
2024-02-06,Product_B,Clothing,South,196.66,7,27.52
2024-02-07,Product_B,Clothing,South,212.46,8,47.27
2024-02-08,Product_B,Clothing,South,191.75,4,76.03
2024-02-09,Product_B,Clothing,South,216.92,5,10.99
2024-02-10,Product_B,Clothing,South,198.84,7,53.32
2024-02-11,Product_B,Clothing,South,185.21,17,33.38
2024-02-12,Product_B,Clothing,South,201.01,4,22.34
2024-02-13,Product_B,Clothing,South,193.07,6,29.37
2024-02-14,Product_B,Clothing,South,208.38,19,31.71
2024-02-15,Product_B,Clothing,South,193.47,3,82.14
2024-02-16,Product_B,Clothing,South,195.51,4,53.91
2024-02-17,Product_B,Clothing,South,180.98,12,59.32
2024-02-18,Product_B,Clothing,South,195.2,6,85.99
2024-02-19,Product_B,Clothing,South,175.27,12,53.94
2024-02-20,Product_B,Clothing,South,183.4,11,39.22
2024-02-21,Product_B,Clothing,South,206.51,5,52.84
2024-02-22,Product_B,Clothing,South,206.37,8,45.5
2024-02-23,Product_B,Clothing,South,202.32,7,80.65
2024-02-24,Product_B,Clothing,South,187.88,4,95.98
2024-02-25,Product_B,Clothing,South,196.51,4,38.39
2024-02-26,Product_B,Clothing,South,196.32,5,49.38
2024-02-27,Product_B,Clothing,South,184.09,9,85.68
2024-02-28,Product_B,Clothing,South,209.97,18,91.16
2024-02-29,Product_B,Clothing,South,202.92,7,67.35
2024-03-01,Product_B,Clothing,South,191.09,5,90.56
2024-03-02,Product_B,Clothing,South,192.67,5,65.25
2024-03-03,Product_B,Clothing,South,193.54,15,56.66
2024-03-04,Product_B,Clothing,South,170.03,10,76.37
2024-03-05,Product_B,Clothing,South,186.93,6,71.22
2024-03-06,Product_B,Clothing,South,181.48,15,17.63
2024-03-07,Product_B,Clothing,South,177.14,4,16.49
2024-03-08,Product_B,Clothing,South,183.16,14,11.09
2024-03-09,Product_B,Clothing,South,202.71,4,76.38
2024-03-10,Product_B,Clothing,South,189.86,7,36.69
2024-03-11,Product_B,Clothing,South,176.43,7,79.72
2024-03-12,Product_B,Clothing,South,186.51,5,26.67
2024-03-13,Product_B,Clothing,South,193.38,11,18.86
2024-03-14,Product_B,Clothing,South,187.21,5,78.79
2024-03-15,Product_B,Clothing,South,177.09,8,11.89
2024-03-16,Product_B,Clothing,South,168.53,12,97.11
2024-03-17,Product_B,Clothing,South,180.46,8,79.23
2024-03-18,Product_B,Clothing,South,175.85,5,44.37
2024-03-19,Product_B,Clothing,South,179.29,9,20.92
2024-03-20,Product_B,Clothing,South,175.08,5,79.72
2024-03-21,Product_B,Clothing,South,177.6,4,57.73
2024-03-22,Product_B,Clothing,South,160.1,13,97.16
2024-03-23,Product_B,Clothing,South,176.96,4,36.35
2024-03-24,Product_B,Clothing,South,164.07,3,64.17
2024-03-25,Product_B,Clothing,South,181.15,5,77.33
2024-03-26,Product_B,Clothing,South,151.79,3,69.08
2024-03-27,Product_B,Clothing,South,174.32,11,40.44
2024-03-28,Product_B,Clothing,South,157.21,3,30.22
2024-03-29,Product_B,Clothing,South,146.97,5,48.89
2024-03-30,Product_B,Clothing,South,146.91,5,65.16
2024-03-31,Product_B,Clothing,South,146.8,3,31.66
2024-04-01,Product_B,Clothing,South,152.5,10,27.77
2024-04-02,Product_B,Clothing,South,151.74,3,68.12
2024-04-03,Product_B,Clothing,South,139.04,6,83.44
2024-04-04,Product_B,Clothing,South,142.8,3,86.19
2024-04-05,Product_B,Clothing,South,162.74,3,32.7
2024-04-06,Product_B,Clothing,South,156.88,3,51.45
2024-04-07,Product_B,Clothing,South,142.27,3,75.56
2024-04-08,Product_B,Clothing,South,136.6,3,69.05
2024-04-09,Product_B,Clothing,South,135.75,7,59.05
2024-04-10,Product_B,Clothing,South,139.03,2,94.36
2024-04-11,Product_B,Clothing,South,121.04,10,24.83
2024-04-12,Product_B,Clothing,South,127.09,8,75.34
2024-04-13,Product_B,Clothing,South,111.4,2,29.22
2024-04-14,Product_B,Clothing,South,130.52,4,85.66
2024-04-15,Product_B,Clothing,South,131.47,3,58.8
2024-04-16,Product_B,Clothing,South,118.67,3,55.75
2024-04-17,Product_B,Clothing,South,137.78,6,60.85
2024-04-18,Product_B,Clothing,South,108.35,2,88.6
2024-04-19,Product_B,Clothing,South,104.57,2,78.5
2024-04-20,Product_B,Clothing,South,120.11,7,51.54
2024-04-21,Product_B,Clothing,South,127.01,12,32.2
2024-04-22,Product_B,Clothing,South,132.11,3,99.26
2024-04-23,Product_B,Clothing,South,109.44,7,46.13
2024-04-24,Product_B,Clothing,South,123.63,2,28.36
